"marca","marca_slug","tipo","tipo_slug","modelo","modelo_slug","url_completa"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D3c","repuestos-bulldozer-caterpillar-d3c","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d3c/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D3g","repuestos-bulldozer-caterpillar-d3g","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d3g/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D3k","repuestos-bulldozer-caterpillar-d3k","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d3k/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D3k2","repuestos-bulldozer-caterpillar-d3k2","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d3k2/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D4c","repuestos-bulldozer-caterpillar-d4c","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d4c/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D4d","repuestos-bulldozer-caterpillar-d4d","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d4d/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D4e","repuestos-bulldozer-caterpillar-d4e","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d4e/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D4g","repuestos-bulldozer-caterpillar-d4g","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d4g/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D4h","repuestos-bulldozer-caterpillar-d4h","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d4h/"
"Caterpillar","repuestos-para-maquinaria-pesada-caterpillar","Buldozer","repuestos-para-maquinaria-pesada-buldozer-caterpillar","Repuestos Bulldozer Caterpillar D4k","repuestos-bulldozer-caterpillar-d4k","https://partequipos.com/repuestos-maquinaria-pesada-colombia/repuestos-maquinaria-pesada-marcas/repuestos-para-maquinaria-pesada-caterpillar/repuestos-para-maquinaria-pesada-buldozer-caterpillar/repuestos-bulldozer-caterpillar-d4k/"
